"rating" "cost" "heat" "brick" "area" "heat_re"
"146" 4.8 2.75 "Gas" FALSE "EVillage" 2
"147" 4.77 2.75 "Gas" FALSE "SoHo" 2
"148" 4.95 3.75 "Gas" FALSE "EVillage" 2
"149" 4.96 2.75 "Gas" TRUE "EVillage" 2
"150" 0.3 3 "Gas" TRUE "LittleItaly" 2
"151" 0.81 2.5 "Gas" FALSE "LittleItaly" 2
"152" 4.96 3 "Gas" FALSE "EVillage" 2
"153" 4.92 2.25 "Gas" FALSE "EVillage" 2
"154" 4.99 3 "Coal" TRUE "SoHo" 0
"155" 0.75 2 "Gas" FALSE "LittleItaly" 2
"156" 3.66 3.75 "Gas" FALSE "SoHo" 2
"157" 3.42 1.5 "Gas" FALSE "EVillage" 2
"158" 4.99 3.5 "Wood" TRUE "EVillage" 1
"159" 4.75 4.75 "Gas" FALSE "SoHo" 2
"160" 4.78 3 "Gas" FALSE "SoHo" 2
"161" 3 1.5 "Gas" FALSE "SoHo" 2
"162" 1.43 5.25 "Gas" TRUE "LittleItaly" 2
"163" 4.93 1.25 "Coal" TRUE "SoHo" 0
"164" 0.35 1.25 "Gas" FALSE "LittleItaly" 2
"165" 1.75 2.25 "Wood" TRUE "Chinatown" 1
"166" 3.98 2.75 "Gas" FALSE "SoHo" 2
"167" 1.63 3.25 "Gas" FALSE "LES" 2
"168" 4.99 4.25 "Coal" TRUE "LES" 0
"169" 4.86 3.25 "Wood" TRUE "SoHo" 1
"170" 3.34 2.75 "Gas" FALSE "SoHo" 2
"171" 0.37 3.15 "Wood" TRUE "Chinatown" 1
"172" 3.63 1.25 "Coal" TRUE "LittleItaly" 0
"173" 3.83 3.75 "Gas" FALSE "LES" 2
"174" 4.99 4.5 "Gas" FALSE "EVillage" 2
"175" 3.35 2.75 "Gas" FALSE "SoHo" 2
"176" 4.09 3.5 "Gas" FALSE "SoHo" 2
"177" 4.88 2.5 "Gas" FALSE "SoHo" 2
"178" 4.82 2 "Gas" FALSE "SoHo" 2
"179" 4.99 2.5 "Wood" TRUE "EVillage" 1
"180" 0.17 1.75 "Gas" FALSE "LittleItaly" 2
"181" 4.91 4 "Gas" FALSE "SoHo" 2
"182" 0.12 2.25 "Gas" TRUE "Chinatown" 2
"183" 3.88 3.5 "Gas" FALSE "SoHo" 2
"184" 1.14 1.25 "Gas" FALSE "LES" 2
"185" 1.92 3.75 "Gas" FALSE "LittleItaly" 2
"186" 1.75 1.75 "Gas" FALSE "LES" 2
"187" 4.17 2.75 "Gas" FALSE "EVillage" 2
"188" 0.65 2.75 "Gas" FALSE "LittleItaly" 2
"189" 4.96 2 "Wood" TRUE "EVillage" 1
"190" 4.37 1.25 "Gas" FALSE "EVillage" 2
"191" 4.09 1.75 "Gas" FALSE "EVillage" 2
"192" 4.94 3.25 "Gas" FALSE "EVillage" 2
"193" 4.12 2 "Gas" FALSE "SoHo" 2
"194" 3.69 2.75 "Gas" FALSE "LES" 2
"195" 3.14 2.25 "Gas" FALSE "LES" 2
"196" 0.88 2.25 "Wood" TRUE "Chinatown" 1
"197" 4.27 1.75 "Gas" FALSE "EVillage" 2
"198" 3.56 1.25 "Coal" TRUE "LES" 0
"199" 0.67 3 "Gas" FALSE "LittleItaly" 2
"200" 4.95 3.25 "Wood" TRUE "SoHo" 1
